Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
jyy	jaya1242	Jaya			Latn	Shifting	3 Endangered	Emerging	0	2,200		moro1296	Yes	
zka	kaim1241	Kaimbulawa			Latn	Threatened	2 Stable	Still	0	2,200		muni1259	Yes	
soq	kana1288	Kanasi			Latn	Developing	2 Stable	Emerging	0	2,200		sout3380	Yes	
kcl	kela1255	Kela (Papua New Guinea)			Latn	Vigorous	3 Endangered	Emerging	0	2,200		nort2858	Yes	
lww	lewo1242	Lewo			Latn	Developing	2 Stable	Emerging	0	2,200		lame1259	Yes	
aij	lish1245	Lishanid Noshan			Hebr	Shifting	3 Endangered	Still	0	2,200		sout3213	Yes	
zpy	maza1294	Mazaltepec Zapotec			Latn	Vigorous	3 Endangered	Emerging	0	2,200	zap	cent2146	Possibly	Will be hard to find specific data, may be better to use macrolanguage
sgy	sang1344	Sanglechi			Arab	Vigorous	2 Stable	Emerging	0	2,200		sang1343	Yes	
aaw	solo1258	Solong			Latn	Educational	2 Stable	Still	0	2,200		west2530	Yes	
wed	weda1241	Wedau			Latn	Developing	1 Institutional	Emerging	0	2,200		weda1242	Yes	
uve	west2516	West Uvean			Latn	Threatened	3 Endangered	Emerging	0	2,200		vanu1245	Yes	
yko	yasa1242	Yasa			Latn		3 Endangered	Ascending	0	2,200		yasa1241	Yes	
xra	krah1246	Krahô			Latn	Vigorous	2 Stable	Still	0	2,180		cane1243	Yes	
kjr	kuru1305	Kurudu	bahasa Kurudu		Latn	Threatened	3 Endangered	Still	0	2,180		east2438	Yes	
tix	sout2961	Southern Tiwa			Latn	Threatened	3 Endangered	Emerging	0	2,180		tiwa1255	Yes	
ddi	diod1237	West Goodenough			Latn	Vigorous	2 Stable	Still	0	2,180		bwai1241	Yes	
vep	veps1250	Veps	vepsä	Spoken & Written	Latn	Threatened	3 Endangered	Ascending	0	2,173		east2796	Yes	
scu	shum1243	Shumcho			Takr	Vigorous	3 Endangered	Emerging	0	2,170		theb1237	Yes	
alj	alan1249	Alangan			Latn	Developing	3 Endangered	Emerging	0	2,150		nort2873	Yes	
ham	hewa1241	Hewa			Latn	Vigorous	2 Stable	Emerging	0	2,150		hewa1240	Yes	
crq	iyow1239	Iyo'wujwa Chorote			Latn	Developing	2 Stable	Emerging	0	2,150		chor1274	Yes	
mcm	mala1533	Malaccan Creole Portuguese			Latn	Moribund	3 Endangered	Emerging	0	2,150		luso1234	Yes	
dgr	dogr1252	Dogrib	Tłįchǫ		Latn	Developing	3 Endangered	Ascending	0	2,140		hare1243	Yes	
pgi	pagi1244	Pagi			Latn	Vigorous	2 Stable	Still	0	2,140		pagi1245	Yes	
ltu	latu1237	Latu			Latn	Shifting	3 Endangered	Still	0	2,130		sapa1250	Yes	
bjk	baro1253	Barok			Latn	Educational	3 Endangered	Emerging	0	2,120		mada1284	Yes	
mle	mana1298	Manambu			Latn	Developing	3 Endangered	Emerging	0	2,110		mana1303	Yes	
dba	bang1363	Bangime			Latn	Vigorous	2 Stable	Emerging	0	2,100			Yes	
kbm	iwal1237	Iwal			Latn	Developing	2 Stable	Emerging	0	2,100		sout2878	Yes	
coe	kore1283	Koreguaje			Latn	Threatened	2 Stable	Emerging	0	2,100		kore1286	Yes	
lkt	lako1247	Lakota	Lakȟólʼiyapi		Latn	Threatened	3 Endangered	Ascending	0	2,100		siou1253	Yes	
mlv	motl1237	Mwotlap			Latn	Vigorous	2 Stable	Emerging	0	2,100		torr1262	Yes	
zor	rayo1235	Rayón Zoque			Latn	Shifting	3 Endangered	Still	0	2,100		chia1265	Yes	
tmy	tami1290	Tami			Latn	Developing	2 Stable	Emerging	0	2,100		viti1243	Yes	
lli	teke1277	Teke-Laali			Latn	Threatened	3 Endangered	Still	0	2,100		laal1244	Yes	
hwa	wane1242	Wané			Latn	Vigorous	3 Endangered	Still	0	2,100		bakw1242	Yes	
hrw	anir1237	Warwar Feni			Latn	Developing	2 Stable	Still	0	2,100		niwe1235	Yes	
zal	zauz1238	Zauzou				Threatened	3 Endangered	Still	0	2,100		nuso1234	Yes	
gai	bore1247	Borei			Latn	Developing	2 Stable	Emerging	0	2,090		wagg1235	Yes	
miz	coat1241	Coatzospan Mixtec			Latn	Developing	3 Endangered	Emerging	0	2,090		nort3199	Yes	
sjr	siar1238	Siar-Lak			Latn	Educational	2 Stable	Emerging	0	2,080		stge1234	Yes	
tzx	tabr1243	Tabriak			Latn	Vigorous	2 Stable	Still	0	2,080		kara1498	Yes	
tef	tere1272	Teressa				Vigorous	3 Endangered	Still	0	2,080		chow1240	Yes	
jae	yabe1254	Yabem			Latn	Developing	3 Endangered	Emerging	0	2,080		nort2858	Yes	
crg	mich1243	Michif	Michif		Latn	Shifting	3 Endangered	Emerging	0	2,075	oji	plai1264	Possibly	But probably want to use macrolanguage
awb	awap1236	Awa (Papua New Guinea)			Latn	Developing	2 Stable	Emerging	0	2,050		awao1234	Yes	
cnc	coon1239	Côông			Latn	Vigorous	2 Stable	Still	0	2,030		phun1244	Yes	
azm	ipal1235	Ipalapa Amuzgo			Latn	Shifting	3 Endangered	Still	0	2,030		amuz1254	Yes	
boj	anja1238	Anjam			Latn	Developing	3 Endangered	Emerging	0	2,020		coas1332	Yes	
nnf	ngai1241	Ngaing			Latn	Educational	2 Stable	Emerging	0	2,020		unun9980	Yes	
waw	waiw1244	Waiwai			Latn	Developing	2 Stable	Emerging	0	2,020		waiw1245	Yes	
gej	genn1243	Gen			Latn	Wider Communication	1 Institutional	Ascending	0	2,015		west2802	Yes	
atr	waim1253	Waimiri-Atroari			Latn	Developing	2 Stable	Still	0	2,010		yawa1262	Yes	
duf	dumb1241	Dumbea			Latn	Threatened	3 Endangered	Emerging	0	2,009		extr1245	Yes	
har	hara1271	Harari			Ethi	Vigorous	2 Stable	Ascending	0	2,005		hara1270	Yes	
wuh	wutu1241	Wutunhua	Ngandehua		Latn	Shifting	2 Stable	Still	0	2,000		mand1471	Yes	
aix	aigh1235	Aighon			Latn	Vigorous	2 Stable	Still	0	2,000		pasi1254	Yes	
bpo	anas1239	Anasi			Latn	Vigorous	3 Endangered	Still	0	2,000		book1242	Yes	
apu	apur1254	Apurinã			Latn	Threatened	3 Endangered	Emerging	0	2,000		puru1265	Yes	
auj	awji1241	Awjilah			Arab	Moribund	3 Endangered	Emerging	0	2,000		berb1260	Yes	
bcn	bali1245	Bali (Nigeria)			Latn	Vigorous	2 Stable	Ascending	0	2,000		bali1284	Yes	
blq	balu1257	Baluan-Pam			Latn	Vigorous	2 Stable	Still	0	2,000		loup1244	Yes	
buj	basa1281	Basa-Gurmana			Latn	Vigorous	3 Endangered	Still	0	2,000		kont1247	Yes	
bon	bine1240	Bine			Latn	Developing	2 Stable	Emerging	0	2,000		east2503	Yes	
biy	birh1242	Birhor			Deva	Vigorous	2 Stable	Still	0	2,000		mund1336	Yes	
blp	blab1237	Blablanga			Latn	Threatened	3 Endangered	Still	0	2,000		zaza1247	Yes	
mae	boru1244	Bo-Rukul			Latn	Vigorous	2 Stable	Still	0	2,000		sout2800	Yes	
ckz	cakc1235	Cakchiquel-Quiché Mixed Language			Latn	Shifting	3 Endangered	Emerging	0	2,000		kaqc1280	Yes	
tgt	cent2090	Central Tagbanwa			Latn	Nearly Extinct	3 Endangered	Emerging	0	2,000		bata1317	Yes	
ycp	chep1243	Chepya				Shifting	3 Endangered	Still	0	2,000		akha1246	Yes	
cim	cimb1238	Cimbrian	Zimbrisch		Latn	Vigorous	3 Endangered	Emerging	0	2,000		glob1242	Yes	
tgd	ciwo1236	Ciwogai			Latn	Vigorous	3 Endangered	Still	0	2,000		nucl1830	Yes	
cco	coma1246	Comaltepec Chinantec			Latn	Developing	2 Stable	Ascending	0	2,000		chin1488	Yes	
cug		Cung				Vigorous			0	2,000			Probably not	Split into separate language codes
acy	cypr1248	Cypriot Arabic			Latn	Shifting	3 Endangered	Emerging	0	2,000	ara	leva1239	Possibly	But probably want to use macrolanguage
dka	dakp1242	Dakpakha			Tibt	Vigorous	3 Endangered	Still	0	2,000		dakp1241	Yes	
dms	damp1237	Dampelas	bahasa Dampelas		Latn	Shifting	3 Endangered	Still	0	2,000		sout2925	Yes	
dnu	dana1252	Danau			Mymr	Threatened	3 Endangered	Still	0	2,000		pala1352	Yes	
enr	emum1240	Emumu	bahasa Emumu		Latn	Threatened	3 Endangered	Still	0	2,000		east2530	Yes	
frs	nort2628	Frisian			Latn	Moribund	3 Endangered	Emerging	0	2,000		ostf1234	Yes	
tmd	haru1245	Haruai			Latn	Developing	2 Stable	Emerging	0	2,000		piaw1238	Yes	
huh	huil1244	Huilliche			Latn	Moribund	3 Endangered	Emerging	0	2,000		arau1255	Yes	
juo	jiba1237	Jiba			Latn	Moribund	3 Endangered	Still	0	2,000		kona1244	Yes	
jbe	jude1262	Judeo-Berber			Hebr	Shifting	3 Endangered	Emerging	0	2,000		book1242	Possibly	There is disagreement if this is a true language
kzy	kang1285	Kango (Tshopo District)			Latn	Vigorous	3 Endangered	Emerging	0	2,000		bila1258	Yes	
kyj	kara1487	Karao			Latn	Developing	2 Stable	Emerging	0	2,000		nucl1542	Yes	
kil	kari1316	Kariya			Latn	Vigorous	3 Endangered	Still	0	2,000		warj1255	Yes	
xkn	kaya1325	Kayan River Kayan			Latn	Vigorous	3 Endangered	Still	0	2,000		kaya1333	Yes	
nxk	koka1245	Koki Naga				Vigorous	2 Stable	Still	0	2,000		pend1244	Yes	
kze	kose1239	Kosena			Latn	Developing	2 Stable	Emerging	0	2,000		book1242	Yes	
cpo	kpee1234	Kpeego			Latn	Shifting	2 Stable	Still	0	2,000		duun1245	Yes	
kes	kugb1241	Kugbo			Latn	Vigorous	3 Endangered	Still	0	2,000		kugb1242	Yes	
kwt	kwes1245	Kwesten	bahasa Kwesten		Latn	Shifting	3 Endangered	Still	0	2,000		tora1268	Yes	
lau	laba1241	Laba			Latn	Vigorous	3 Endangered	Still	0	2,000		book1242	Yes	
yne	lang1333	Lang'e					2 Stable	Still	0	2,000		book1242	Yes	
cle	leal1235	Lealao Chinantec			Latn	Developing	2 Stable	Emerging	0	2,000		chin1489	Yes	
ley	lemo1243	Lemolang			Latn	Moribund	3 Endangered	Still	0	2,000		bada1265	Yes	
let	lesi1239	Lesing-Gelimi			Latn	Vigorous	2 Stable	Still	0	2,000		east2763	Yes	
liu	logo1261	Logorik			Latn	Shifting	3 Endangered	Still	0	2,000		east2428	Yes	
khl	lusi1240	Lusi			Latn	Vigorous	2 Stable	Still	0	2,000		kali1298	Yes	
gmd	magh1238	Mághdì			Latn	Vigorous	3 Endangered	Still	0	2,000		makt1234	Yes	
mxm	mera1242	Meramera			Latn	Vigorous	2 Stable	Emerging	0	2,000		naka1266	Yes	
pbe	mezo1235	Mezontla Popoloca			Latn	Moribund	3 Endangered	Still	0	2,000		tepe1282	Yes	
mvi	miya1259	Miyako				Shifting	3 Endangered	Emerging	0	2,000		ryuk1244	Yes	
ahm	mobu1235	Mobumrin Aizi			Latn	Vigorous	3 Endangered	Still	0	2,000		aizi1248	Yes	
mqo	modo1249	Modole			Latn	Vigorous	3 Endangered	Still	0	2,000		kaor1242	Yes	
ymi	moji1238	Moji					3 Endangered	Still	0	2,000		muji1235	Yes	
mqf	momu1241	Momuna	bahasa Momuna		Latn	Threatened	3 Endangered	Still	0	2,000		soma1242	Yes	
ymd	muda1235	Muda					3 Endangered	Still	0	2,000		akha1246	Yes	
nif	nekk1240	Nek			Latn	Developing	2 Stable	Emerging	0	2,000		nekn1234	Yes	
anh	nend1239	Nend			Latn	Vigorous	3 Endangered	Emerging	0	2,000		atan1241	Yes	
ngx	nggw1242	Nggwahyi			Latn	Vigorous	3 Endangered	Still	0	2,000		bura1297	Yes	
nll	niha1238	Nihali				Threatened	3 Endangered	Emerging	0	2,000			Yes	
nir	nucl1633	Nimboran	bahasa Namblong		Latn	Moribund	3 Endangered	Still	0	2,000		nimb1257	Yes	
onr	nort2907	Northern One			Latn	Vigorous	3 Endangered	Still	0	2,000		cent2238	Yes	
nqt	nucl1698	Nteng			Latn		2 Stable	Still	0	2,000		kofy1244	Yes	
kte	nubr1241	Nubri	लार्क्या भोटे		Deva	Vigorous	2 Stable	Still	0	2,000		gyal1235	Yes	
pln	pale1260	Palenquero			Latn	Moribund	3 Endangered	Ascending	0	2,000		sout3200	Yes	
ppt	pare1271	Pare			Latn	Vigorous	2 Stable	Emerging	0	2,000		awin1249	Yes	
ata	pele1245	Pele-Ata			Latn	Educational	2 Stable	Emerging	0	2,000			Yes	
phk	phak1238	Phake			Mymr	Educational	2 Stable	Emerging	0	2,000		assa1275	Yes	
pmo	pomm1237	Pom	bahasa Pom		Latn	Threatened	3 Endangered	Still	0	2,000		cent2308	Yes	
pui	puin1248	Puinave	Wãnsöhöt		Latn	Threatened	3 Endangered	Emerging	0	2,000			Yes	
puj	puna1266	Punan Tubu			Latn	Vigorous	3 Endangered	Emerging	0	2,000		puna1281	Yes	
gqu	qaua1234	Qau				Vigorous	3 Endangered	Still	0	2,000		gela1265	Yes	
rap	rapa1244	Rapanui	rapanui		Latn	Threatened	3 Endangered	Ascending	0	2,000		fare1245	Yes	
trq	sanm1298	San Martín Itunyoso Triqui			Latn	Developing	3 Endangered	Emerging	0	2,000		triq1251	Yes	
zpi	sant1451	Santa María Quiegolani Zapotec			Latn	Developing	3 Endangered	Emerging	0	2,000	zap	sout3003	Possibly	Will be hard to find specific data, may be better to use macrolanguage
swy	saru1245	Sarua			Latn	Shifting	3 Endangered	Emerging	0	2,000		sarw1240	Yes	
sge	sega1243	Segai			Latn	Vigorous	3 Endangered	Emerging	0	2,000		moda1243	Yes	
szc	sema1265	Semaq Beri			Latn	Vigorous	2 Stable	Still	0	2,000		seme1246	Yes	
shh	shos1248	Shoshone	Sosoni'		Latn	Threatened	3 Endangered	Emerging	0	2,000		cent2130	Yes	
tty	sika1263	Sikaritai	bahasa Aikwakai		Latn	Developing	2 Stable	Still	0	2,000		east2502	Yes	
ysg	sona1244	Sonaga				Vigorous	2 Stable	Still	0	2,000		kuan1251	Yes	
tgo	sude1239	Sudest			Latn	Developing	2 Stable	Emerging	0	2,000		nimo1245	Yes	
zat	taba1268	Tabaa Zapotec			Latn	Vigorous	3 Endangered	Emerging	0	2,000	zap	cajo1239	Possibly	Will be hard to find specific data, may be better to use macrolanguage
tuh	taul1251	Taulil			Latn	Threatened	3 Endangered	Emerging	0	2,000		taul1250	Yes	
tck	tchi1245	Tchitchege			Latn	Shifting	3 Endangered	Still	0	2,000		tsit1235	Yes	
tez	tets1235	Tetserret			Latn		3 Endangered	Emerging	0	2,000		west2724	Yes	
lst	trin1277	Trinidad and Tobago Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	2,000		amer1258	Yes	
two	tswa1237	Tswapong			Latn	Vigorous	2 Stable	Still	0	2,000		sepe1241	Yes	
trd	turi1246	Turi				Moribund	3 Endangered	Still	0	2,000		mund1336	Yes	
ukh	ukhw1241	Ukhwejo			Latn	Vigorous	3 Endangered	Still	0	2,000		mpie1239	Yes	
urk	urak1238	Urak Lawoi'			Thai	Threatened	3 Endangered	Emerging	0	2,000	msa	keda1253	Possibly	But probably want to use macrolanguage
wud	wudu1238	Wudu			Latn	Vigorous	3 Endangered	Still	0	2,000		fong1244	Yes	
dym	yand1257	Yanda Dom Dogon			Latn	Vigorous	2 Stable	Still	0	2,000		yand1256	Yes	
asy	yaos1235	Yaosakor Asmat			Latn	Shifting	3 Endangered	Still	0	2,000		cent2247	Yes	
yby	yawe1241	Yaweyuha			Latn	Developing	2 Stable	Emerging	0	2,000		nucl1756	Yes	
mpm	yoso1239	Yosondúa Mixtec			Latn	Threatened	3 Endangered	Emerging	0	2,000		chal1278	Yes	
zhw	zhoa1238	Zhoa			Latn	Threatened	3 Endangered	Emerging	0	2,000		aghe1240	Yes	
jmb	zumb1240	Zumbun			Latn	Vigorous	2 Stable	Still	0	2,000		nucl1830	Yes	
jna	jang1254	Jangshung			Takr	Vigorous	3 Endangered	Emerging	0	1,990		theb1237	Yes	
srg	sulo1237	Sulod			Latn	Vigorous	3 Endangered	Still	0	1,990		kina1255	Yes	
yss	yess1239	Yessan-Mayo			Latn	Developing	2 Stable	Emerging	0	1,990		mayo1278	Yes	
kih	kilm1241	Kilmeri			Latn	Threatened	3 Endangered	Still	0	1,970		pagi1245	Yes	
rak	tulu1259	Tulu-Bohuai			Latn	Vigorous	3 Endangered	Still	0	1,970		west2849	Yes	
kej	kada1242	Kadar				Threatened	3 Endangered	Still	0	1,960		mala1541	Yes	
rka	krao1238	Kraol			Khmr	Threatened	2 Stable	Still	0	1,960		sout2691	Yes	
snv	saba1265	Sa'ban			Latn	Threatened	3 Endangered	Still	0	1,960		kela1257	Yes	
tva	vagh1249	Vaghua			Latn	Vigorous	2 Stable	Still	0	1,960		west2856	Yes	
tnc	tani1257	Tanimuca-Retuarã			Latn	Threatened	3 Endangered	Emerging	0	1,952		sout3144	Yes	
dby	dibi1240	Dibiyaso			Latn	Vigorous	2 Stable	Still	0	1,950			Yes	
tow	jeme1245	Jemez			Latn	Threatened	3 Endangered	Emerging	0	1,925		kiow1265	Yes	
bsn	bara1380	Barasana-Eduria	Jãnerã - Eduria Oca		Latn	Developing	2 Stable	Emerging	0	1,924		sout3006	Yes	
mbp	mala1522	Malayo			Latn	Threatened	3 Endangered	Emerging	0	1,922		east2572	Yes	
chy	chey1247	Cheyenne	Tsêhést	Spoken & Written	Latn	Threatened	3 Endangered	Ascending	0	1,920		algo1257	Yes	
amr	amar1274	Amarakaeri			Latn	Shifting	3 Endangered	Ascending	0	1,910		hara1260	Yes	
adu	adug1238	Aduge			Latn	Vigorous	3 Endangered	Still	0	1,900		book1242	Yes	
awx	awar1248	Awara			Latn	Vigorous	2 Stable	Emerging	0	1,900		want1253	Yes	
duz	duli1241	Duli			Latn	Extinct	3 Endangered	Emerging	0	1,900		uncl1524	Yes, with caveat	Some sources report this as extinct, some as active
kvd	kuii1253	Kui (Indonesia)	bahasa Kui		Latn	Threatened	3 Endangered	Still	0	1,900		alor1250	Yes	
mhn	moch1255	Mócheno	mhn		Latn	Vigorous	3 Endangered	Emerging	0	1,900		glob1242	Yes	
erg	siee1239	Sie			Latn	Vigorous	2 Stable	Emerging	0	1,900		erro1239	Yes	
uro	urap1240	Ura (Papua New Guinea)			Latn	Educational	2 Stable	Still	0	1,900		bain1263	Yes	
vao	vaoo1237	Vao			Latn	Vigorous	3 Endangered	Still	0	1,900		boto1250	Yes	
ute	utes1238	Ute-Southern Paiute			Latn	Threatened	3 Endangered	Still	0	1,895		sout2968	Yes	
xtu	cuya1240	Cuyamecalco Mixtec			Latn	Threatened	3 Endangered	Still	0	1,880		nort3199	Yes	
gao	gant1244	Gants			Latn	Vigorous	2 Stable	Still	0	1,880		east2767	Yes	
cof	colo1256	Colorado			Latn	Threatened	3 Endangered	Ascending	0	1,872		caya1244	Yes	
tqu	touo1238	Touo			Latn	Vigorous	2 Stable	Emerging	0	1,870			Yes	
fwa	fwai1237	Fwâi			Latn	Threatened	3 Endangered	Emerging	0	1,860		hyen1234	Yes	
klf	kend1253	Kendeje			Latn	Shifting	3 Endangered	Emerging	0	1,860		nucl1441	Yes	
bcb	bain1260	Bainouk-Samik			Latn	Threatened	3 Endangered	Still	0	1,850		book1242	Yes	
mij	abar1238	Mungbam			Latn	Threatened	3 Endangered	Emerging	0	1,850		yemn1234	Yes	
cnt	tepe1279	Tepetotutla Chinantec			Latn	Threatened	2 Stable	Emerging	0	1,850		chin1487	Yes	
brd	bara1357	Baraamu			Deva	Nearly Extinct	3 Endangered	Emerging	0	1,846		than1258	Yes	
dia	diaa1238	Dia			Latn	Vigorous	2 Stable	Emerging	0	1,840		galu1240	Yes	
ncf	nots1237	Notsi			Latn	Educational	2 Stable	Emerging	0	1,840		taba1270	Yes	
bqa	tchu1241	Tchumbuli			Latn	Moribund	3 Endangered	Still	0	1,838		chum1265	Yes	
cdn	chau1259	Chaudangsi				Threatened	3 Endangered	Still	0	1,830		darm1241	Yes	
mzu	inap1241	Inapang			Latn	Vigorous	2 Stable	Still	0	1,830		tamo1242	Yes	
lcs	lisa1239	Lisabata-Nuniali			Latn	Vigorous	3 Endangered	Still	0	1,830		nort3221	Yes	
mwf	murr1258	Murrinh-Patha			Latn	Educational	2 Stable	Emerging	0	1,830		sout2772	Yes	
zeg	zena1237	Zenag			Latn	Vigorous	2 Stable	Still	0	1,820		zena1251	Yes	
kdk	nume1242	Numèè			Latn	Threatened	3 Endangered	Emerging	0	1,814		extr1245	Yes	
mtp	wich1262	Wichí Lhamtés Nocten			Latn	Developing	2 Stable	Emerging	0	1,810		wich1261	Yes	
yuz	yura1255	Yuracare			Latn	Threatened	3 Endangered	Emerging	0	1,809			Yes	
nil	nila1244	Nila	bahasa Nila		Latn	Extinct	4 Extinct	Still	0	1,801		nila1243	Yes, with caveat	Some sources report this as extinct, some as active
bvo	bolg1251	Bolgo			Latn	Vigorous	2 Stable	Emerging	0	1,800		uncl1499	Yes	
ceg	cham1315	Chamacoco	Ishír		Latn	Threatened	2 Stable	Emerging	0	1,800		zamu1243	Yes	
cly	east2558	Eastern Highland Chatino			Latn	Threatened	2 Stable	Still	0	1,800		east2736	Yes	
haf	haip1238	Haiphong Sign Language			Zxxx	Vigorous	2 Stable	Still	0	1,800		viet1253	Yes	
srl	isir1237	Isirawa	bahasa Isirawa		Latn	Threatened	3 Endangered	Still	0	1,800		kwer1242	Yes	
grm	kota1279	Kota Marudu Talantang			Latn	Threatened	3 Endangered	Still	0	1,800		dusu1277	Yes	
vmm	mitl1235	Mitlatongo Mixtec			Latn	Vigorous	2 Stable	Still	0	1,800		teoz1234	Yes	
nlu	nchu1238	Nchumbulu			Latn	Vigorous	3 Endangered	Still	0	1,800		nchu1239	Yes	
njj	njen1238	Njen			Latn	Vigorous	2 Stable	Emerging	0	1,800		mund1338	Yes	
pab	pare1272	Parecís			Latn	Developing	2 Stable	Emerging	0	1,800		pare1278	Yes	
sxg	shix1238	Shixing				Threatened	3 Endangered	Still	0	1,800		naic1235	Yes	
ams	sout2954	Southern Amami-Oshima			Jpan	Shifting	3 Endangered	Emerging	0	1,800		oshi1235	Yes	
low	tamp1254	Tampias Lobu			Latn	Threatened	3 Endangered	Still	0	1,800		uppe1426	Yes	
thw	thud1238	Thudam				Vigorous			0	1,800	ola	book1242	No	ISO merged this into ola
don	tour1243	Toura (Papua New Guinea)			Latn	Developing	3 Endangered	Still	0	1,800		nucl1506	Yes	
wbw	woii1237	Woi			Latn	Threatened	3 Endangered	Still	0	1,800		ansu1238	Yes	
ali	amai1246	Amaimon			Latn	Vigorous	2 Stable	Ascending	0	1,780		croi1234	Yes	
mzd	mali1280	Malimba			Latn	Vigorous	3 Endangered	Emerging	0	1,780		dual1245	Yes	
woe	wole1240	Woleaian	kapetali Weleya		Latn	Developing	2 Stable	Emerging	0	1,770		nucl1749	Yes	
leq	lemb1266	Lembena			Latn	Developing	2 Stable	Emerging	0	1,760		enga1251	Yes	
drd	darm1243	Darmiya				Threatened	3 Endangered	Emerging	0	1,750		zhan1241	Yes	
bmh	kein1239	Kein			Latn	Developing	3 Endangered	Emerging	0	1,750		koko1271	Yes	
ssz	seng1281	Sengseng			Latn	Threatened	3 Endangered	Emerging	0	1,750		pasi1254	Yes	
kzq	kaik1246	Kaike				Vigorous	2 Stable	Still	0	1,740		kaik1248	Yes	
van	valm1241	Valman			Latn	Vigorous	3 Endangered	Emerging	0	1,740		west2788	Yes	
kvh	komo1261	Komodo	bahasa Komodo		Latn	Threatened	3 Endangered	Still	0	1,730		mang1430	Yes	
mkj	moki1238	Mokilese	lal in Mwoakilloa		Latn	Vigorous	2 Stable	Emerging	0	1,730		pona1248	Yes	
tsx	muba1238	Mubami			Latn	Vigorous	2 Stable	Still	0	1,730		west2867	Yes	
sib	sebo1238	Sebop			Latn	Threatened	3 Endangered	Still	0	1,730		west2562	Yes	
bqs	bosn1248	Bosngun			Latn	Vigorous	3 Endangered	Still	0	1,725		bosn1247	Yes	
tiw	tiwi1244	Tiwi			Latn	Educational	2 Stable	Emerging	0	1,720			Yes	
ctl	tlac1239	Tlacoatzintepec Chinantec			Latn	Vigorous	2 Stable	Emerging	0	1,720		tlac1238	Yes	
win	hoch1243	Winnebago			Latn	Moribund	3 Endangered	Emerging	0	1,720		winn1245	Yes	
bzb	andi1257	Andio	bahasa Imbao’o		Latn	Threatened	3 Endangered	Still	0	1,700		west2571	Yes	
can	cham1313	Chambri			Latn	Vigorous	2 Stable	Emerging	0	1,700		lowe1423	Yes	
kbk	gras1249	Grass Koiari			Latn	Vigorous	3 Endangered	Still	0	1,700		koit1243	Yes	
llm	lasa1237	Lasalimu			Latn	Threatened	3 Endangered	Still	0	1,700		east2751	Yes	
lvk	lavu1241	Lavukaleve			Latn	Vigorous	2 Stable	Emerging	0	1,700			Yes	
mlh	mape1249	Mape			Latn	Developing	3 Endangered	Emerging	0	1,700		kate1254	Yes	
mvr	mara1397	Marau	bahasa Marau		Latn	Vigorous	3 Endangered	Still	0	1,700		ansu1238	Yes	
mpl	midd1327	Middle Watut			Latn	Vigorous	2 Stable	Still	0	1,700		watu1246	Yes	
nis	nimi1240	Nimi			Latn	Vigorous	2 Stable	Still	0	1,700		sauk1253	Yes	
apf	agta1234	Pahanan Agta			Latn	Educational	2 Stable	Emerging	0	1,700		para1320	Yes	
ptp	pate1247	Patep			Latn	Shifting	3 Endangered	Emerging	0	1,700		zena1251	Yes	
rmm	roma1332	Roma			Latn	Vigorous	3 Endangered	Still	0	1,700		kisa1265	Yes	
ssr	swis1241	Swiss-French Sign Language			Zxxx	Developing	2 Stable	Still	0	1,700		lsfi1234	Yes	
jal	yala1266	Yalahatan			Latn	Threatened	3 Endangered	Still	0	1,700		amal1243	Yes	
glv	manx1243	Manx	Gaelg	Spoken & Written	Latn	Nearly Extinct	3 Endangered	Vital	0	1,690		east2734	Yes	
piu	pint1250	Pintupi-Luritja			Latn	Developing	2 Stable	Ascending	0	1,680		nucl1724	Yes	
etr	edol1239	Edolo			Latn	Developing	2 Stable	Emerging	0	1,670		etor1234	Yes	
pcb	pear1247	Pear			Khmr	Moribund	3 Endangered	Still	0	1,670		pear1246	Yes	
byw	belh1239	Belhariya			Deva	Threatened	3 Endangered	Emerging	0	1,668		athp1240	Yes	
pqm	male1292	Malecite-Passamaquoddy	Peskotomuhkati		Latn	Shifting	3 Endangered	Ascending	0	1,665		micm1234	Yes	
piv	pile1238	Vaeakau-Taumako			Latn	Vigorous	2 Stable	Emerging	0	1,662		nucl1485	Yes	
aly	alya1239	Alyawarr			Latn	Developing	3 Endangered	Ascending	0	1,660		aran1263	Yes	
abc	amba1267	Ambala Ayta			Latn	Vigorous	3 Endangered	Emerging	0	1,660		samb1319	Yes	
ekl	kolb1241	Kol (Bangladesh)			Latn	Vigorous	2 Stable	Emerging	0	1,660		sant1457	Yes	
itz	itza1241	Itzá			Latn	Nearly Extinct	3 Endangered	Ascending	0	1,658		nucl1844	Yes	
wim	wikm1247	Wik-Mungkan			Latn	Educational	3 Endangered	Emerging	0	1,650		mung1277	Yes	
elk	elke1240	Elkei			Latn	Vigorous	2 Stable	Still	0	1,640		oloe1234	Yes	
dju	kapr1245	Kapriman			Latn	Vigorous	2 Stable	Still	0	1,640		kapr1244	Yes	
lmv	loma1261	Lomaiviti			Latn	Vigorous	2 Stable	Still	0	1,630		viwa1234	Yes	
nxx	nafr1241	Nafri	bahasa Nafri		Latn	Moribund	3 Endangered	Still	0	1,630		sent1262	Yes	
