Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
hii	hind1267	Hinduri			Takr	Vigorous	2 Stable	Emerging	0	47,803		nucl1728	Yes	
bgd	rath1242	Rathwi Bareli			Deva	Developing	2 Stable	Emerging	0	47,801		paur1240	Yes	
igw	igwe1238	Igwe			Latn	Vigorous	2 Stable	Still	0	47,800		sasa1252	Yes	
hch	huic1243	Huichol			Latn	Developing	2 Stable	Ascending	0	47,600		cora1259	Yes	
nru	yong1270	Narua			Latn	Vigorous	2 Stable	Still	0	47,000		nais1236	Yes	
whg	nort2921	North Wahgi			Latn	Vigorous	2 Stable	Emerging	0	47,000		wahg1249	Yes	
mye	myen1241	Myene			Latn	Vigorous	2 Stable	Emerging	0	46,700		b10b1234	Yes	
mxv	metl1238	Metlatónoc Mixtec			Latn	Vigorous	2 Stable	Emerging	0	46,600		coic1240	Yes	
brt	bita1251	Bitare			Latn	Vigorous	2 Stable	Emerging	0	46,300		nort3192	Yes	
jaf	jara1274	Jara			Latn	Vigorous	2 Stable	Still	0	46,300		west2707	Yes	
cha	cham1312	Chamorro	Chamorru	Spoken & Written	Latn	National	1 Institutional	Ascending	0	46,180		mala1545	Yes	
lla	lala1261	Lala-Roba			Latn	Vigorous	2 Stable	Emerging	0	46,000		bena1259	Yes	
pof	poke1238	Poke			Latn	Vigorous	2 Stable	Emerging	0	46,000		sopo1239	Yes	
sci	sril1245	Sri Lankan Creole Malay			Latn	Educational	3 Endangered	Emerging	0	46,000		vehi1234	Yes	
tvo	tido1248	Tidore	bahasa Tidore		Latn	Vigorous	3 Endangered	Emerging	0	46,000		tern1246	Yes	
blo	anii1245	Anii	anii kagɩja		Latn	Vigorous	2 Stable	Ascending	0	45,900		basi1245	Yes	
amu	guer1243	Guerrero Amuzgo			Latn	Educational	2 Stable	Ascending	0	45,900		amuz1254	Yes	
gdb	pott1240	Gadaba			Orya	Vigorous	2 Stable	Emerging	0	45,535		olla1234	Yes	
ajt	jude1263	Judeo-Tunisian Arabic				Shifting			0	45,500	aeb	tuni1259	No	ISO considers this a duplicate of aeb
lkc	kuco1235	Kucong			Latn	Shifting	3 Endangered	Still	0	45,400		laho1234	Yes	
dds	donn1239	Donno So Dogon			Latn	Developing	2 Stable	Emerging	0	45,300		esca1235	Yes	
kwc	likw1239	Likwala			Latn	Vigorous	2 Stable	Still	0	45,300		likw1240	Yes	
csk	jola1262	Jola-Kasa			Latn	Developing	2 Stable	Ascending	0	45,100		fhjo1234	Yes	
bxm	mong1330	Mongolia Buriat			Cyrl	Vigorous	2 Stable	Emerging	0	45,100	bua	buri1258	Probably not	It's just a country variant of the macrolanguage
bef	bena1264	Benabena			Latn	Developing	3 Endangered	Emerging	0	45,000		nucl1756	Yes	
sti	bulo1242	Bulo Stieng			Latn	Vigorous	2 Stable	Still	0	45,000		stie1250	Yes	
mhs	buru1303	Buru (Indonesia)			Latn	Vigorous	3 Endangered	Still	0	45,000		buru1322	Yes	
cdr	cind1241	Cinda-Regi-Tiyal			Latn	Vigorous	2 Stable	Emerging	0	45,000		kamu1262	Yes	
ccl	cutc1238	Cutchi-Swahili			Latn	Vigorous	3 Endangered	Emerging	0	45,000		momb1256	Yes	
kjs	east2516	East Kewa			Latn	Developing	3 Endangered	Emerging	0	45,000		sout3252	Yes	
hmt	hamt1247	Hamtai			Latn	Developing	3 Endangered	Emerging	0	45,000		kapa1251	Yes	
hos	hoch1237	Ho Chi Minh City Sign Language			Zxxx	Vigorous	2 Stable	Still	0	45,000		viet1253	Yes	
